discount rate 0,discount rate 1,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,EWS_DaysToThreat,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,50,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,51,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,52,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,53,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,54,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,55,dikesnet,1872854.244644103,476047234.43783045,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,56,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,57,dikesnet,23124028.120099105,382349006.49244875,0.0,0.0,0.02465936700968826
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,3.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,58,dikesnet,1872854.244644103,425645475.1910707,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,2.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,59,dikesnet,12271009.567615392,451580862.9151745,0.0,0.0,0.02454821116533331
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,3.0,2.0,8.0,4.0,2.0,0.0,reference,60,dikesnet,1872854.244644103,450538015.7616794,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,3.0,8.0,4.0,2.0,0.0,reference,61,dikesnet,6856563.064173678,468258160.7439574,0.0,0.0,0.007002926937964258
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,62,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
