A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.3701171875,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,Policy 0,dikesnet,146207363.07909954,0,0.0,0.0,0.11063266455989534
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Policy 0,dikesnet,158514435.65486583,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
64.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,Policy 0,dikesnet,2133317916.689208,0,0.0,0.0,1.1057337797572038
95.0,102.1875,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.0498046875,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,174.0625,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
