A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage,A.1_Expected number of deaths,A.2_Expected number of deaths,A.3_Expected number of deaths,A.4_Expected number of deaths,A.5_Expected number of deaths
110.0,312.937529469362,10,0.6382487440063017,79.65789671686886,1.5,0.09609226412899027,227.74781363989294,1.0,0.7738466588029416,45.54425096820398,1.5,0.10488474281704546,31.35625775583732,1.5,0.39804506721158606,2.5,2.5,1.5,22345088.256188218,288692222.1737689,0.0,16604057.63521454,0.0,0.04290152603797666,0.6671312725131128,0.0,0.018778509285005934,0.0
85.0,93.49858013899949,1.0,0.048809125323815206,186.60538949737727,1.5,0.18499268885916725,147.9771761324568,1.5,0.3278640590403987,52.77832399245186,1.5,0.010204716760330758,33.53259955562173,1.5,0.10758488798590829,4.5,3.5,3.5,700476805.6054493,28707992.73789941,22893962.71916275,21525734.749838,0.0,1.7868151591137362,0.09911878118713612,0.1536025206579924,0.028650102576856816,0.0
8.0,83.15996506917052,1.5,0.3249476565860285,327.87783960486627,10,0.6641704950742565,348.0346279750069,1.5,0.18333633196597612,43.772555493686816,1.5,0.21360054754340702,116.53070880736622,1.5,0.37398223577293266,3.5,2.5,4.5,765990785.9160229,617381.1381841844,257677198.9697787,0.0,0.0,1.793111977946496,0.0020804483914567337,1.5432850318998312,0.0,0.0
28.0,232.7718877878503,1.0,0.6728508837430993,329.24971566208603,1.0,0.5144882159951585,191.54242674020503,1.0,0.501638847653057,77.53127885785251,10,0.35593926536949283,343.7588878135232,1.5,0.3792676013687322,4.5,2.5,3.5,16455938.230610589,19237489.97349291,44535713.2092537,13378350.7716148,6391584.127752036,0.04245795102575303,0.06533015428924491,0.28307489199218705,0.022196914742648212,0.020542545668594914
55.0,169.55168861916985,1.5,0.2800559510614104,226.562045624412,1.0,0.8106996484327363,192.99245282168684,10,0.24799802516845879,325.8694390812447,10,0.6295728723560685,146.75488073747468,1.5,0.7334150437779057,2.5,1.5,4.5,919622296.5900608,0.0,40050810.18799646,0.0,0.0,1.7862551891173553,0.0,0.20164762487041601,0.0,0.0
56.0,177.41089627625553,1.0,0.18107857960465523,184.09844479435353,1.0,0.7775640804092868,56.613398438088055,10,0.7087702550760356,348.1630172077476,1.5,0.5322359843746995,72.33091393207026,10,0.8428889640785507,3.5,3.5,1.5,910500749.3697802,0.0,0.0,0.0,0.0,1.8099941797933625,0.0,0.0,0.0,0.0
57.0,155.81649949119932,10,0.3457356061795644,41.85907821779193,1.0,0.6046477611600761,164.1755255207104,1.5,0.980906499899008,57.60955123028708,1.5,0.9841463564378694,166.29197900711057,1.5,0.6090943888638193,1.5,2.5,2.5,819716832.1085155,0.0,0.0,0.0,0.0,1.435210949023683,0.0,0.0,0.0,0.0
29.0,164.44472915144962,10,0.2366460299517941,316.53838829749486,1.5,0.3781915683789594,84.16968342120128,10,0.12315988272841577,254.2737733781156,10,0.801908874780996,294.8863568294152,1.0,0.7431750309855805,4.5,3.5,1.5,861032344.8397048,653738.6713968951,107409868.73759557,0.0,0.0,1.798824626006489,0.0018772045150292837,0.5652008769770183,0.0,0.0
128.0,334.53682999167904,1.5,0.7248561446525208,49.19724422071894,1.0,0.4510892884411968,100.08428727084365,1.0,0.8815216135083198,229.3793681035138,1.0,0.5520425239050399,202.71368113729,10,0.8889183312544318,1.5,2.5,1.5,9871634.395907622,38109006.92514582,0.0,3650672.376563177,0.0,0.017420885088389373,0.0872646808614719,0.0,0.0044857859957615764,0.0
4.0,260.84099820880436,1.5,0.7514267967499536,348.16254201198996,10,0.2657995693300352,189.16159478353566,1.5,0.11497111233476644,258.7334851614103,10,0.8474347986559412,321.2941645312716,10,0.981651202903645,1.5,1.5,1.5,3914795.920425904,88236336.66039237,861208017.7144386,0.0,0.0,0.006413970576604323,0.18164395621218837,3.2292571219513078,0.0,0.0
